0.	[]
Tan	[(19.61872, -0.46074522, 0.030506134, -0.048183218), (19.62273, -0.6554028, 0.020515442, -0.029423125), (19.648643, -1.1000078, 0.010538101, -0.052891195), (19.698763, -1.0620528, 0.00054740906, -0.06636517), (19.412281, -1.0785013, -0.01941204, -0.165248), (19.179115, -1.0742836, -0.039387703, -0.1317114), (18.875559, -0.8238642, -0.059343338, -0.13559511), (18.326897, -0.47436035, -0.06931782, -0.001436217), (16.826582, -0.20980646, -0.06931782, 0.030189343), (15.879647, -0.26089594, -0.049367905, 0.00243871), (14.227635, -0.48539907, -0.029417992, 0.10616011), (13.6843195, -0.27552003, -0.009468079, 0.13302107), (13.094564, -0.11839743, 0.010482788, 0.031508896), (13.023741, -0.21287161, 0.030432701, 0.2030228), (12.876897, -0.17144993, 0.060358047, 0.14011146), (17.513145, -0.0123102395, 0.090283394, 0.19028626), (17.817335, 0.016600415, 0.12020874, 0.050721087), (19.145655, -0.10871907, 0.16010857, -0.10175282), (20.257046, -0.322708, 0.090283394, -0.07611545), (20.682758, -0.40647337, 0.050382614, -0.15410092), (20.626575, -0.6002241, 0.04040718, -0.07772412), (19.653027, -0.5768113, 0.020457268, 0.0026743114), (18.184748, -0.49739757, 0.020457268, -0.09254936), (16.530327, -0.43687782, 0.010482788, -0.0013890001), (15.334067, -0.17213666, 0.00050735474, 0.08464839), (14.8186865, 0.017317466, 0.00050735474, 0.03861721), (14.811031, -0.07232127, 0.00050735474, -0.047091298), (13.90156, -0.18174674, 0.00050735474, -0.014035734), (13.488513, -0.19271147, 0.00050735474, 0.11625379), (13.657297, -0.20365411, 0.00050735474, 0.057663728), (14.579345, -0.19302107, 0.00050735474, 0.07327269), (15.994829, -0.45449162, 0.00050735474, -0.011497819), (16.805544, -0.6427214, -0.009468079, -0.11867078), (17.58082, -0.82233113, -0.019442558, -0.05534448), (18.5139, -0.94242543, -0.029417992, -0.09340888), (18.98933, -0.81358474, -0.049367905, -0.0003590202), (19.155453, -0.80816454, -0.059343338, 0.05348616), (19.66494, -0.5841734, -0.059343338, 0.021500245), (20.85295, -0.62041396, -0.029417992, 0.024216484), (21.432573, -0.6965947, -0.039393425, -0.0037931884), (21.714437, -0.9370835, -0.039393425, 0.056701608), (21.75844, -0.922411, -0.029417992, 0.12651971), (21.610312, -0.954475, 0.00050735474, 0.08993864), (21.1641, -0.88080126, 0.020457268, 0.15707143), (20.440683, -0.5934544, 0.04040718, 0.04176496), (19.066435, -0.40781632, 0.04040718, 0.05716296), (17.65645, -0.3826769, 0.060358047, 0.09872972), (17.438227, -0.90557534, 0.08030796, 0.1317455), (17.08111, -0.7280432, 0.090283394, 0.07672189), (16.321022, -0.44672355, 0.10025787, 0.05188253), (15.500638, -0.27972656, 0.10025787, -0.012075245), (14.993094, -0.08317494, 0.090283394, -0.040859014), (15.248795, -0.0533315, 0.07033253, 0.016873488), (15.249346, -0.06749113, 0.060358047, -0.08779286), (13.361307, -0.18087912, 0.060358047, -0.034425475), (13.347162, -0.29142034, 0.050382614, -0.02721957), (13.28694, -0.3318348, 0.050382614, -0.00048599322), (12.848066, -0.28655705, 0.050382614, -0.015011499), (14.109342, -0.07933832, 0.050382614, -0.046856917), (14.134521, -0.019458093, 0.050382614, 0.078495994), (13.350141, 0.02187626, 0.050382614, 0.07484439), (13.574878, 0.019859593, 0.050382614, 0.003897415), (13.309348, -0.010653328, 0.050382614, 0.008044408), (12.968, 0.012993675, 0.050382614, -0.03233), (12.693921, 0.025443776, 0.050382614, -0.025742985), (12.762411, 0.05089026, 0.050382614, 0.008699746), (12.742071, -0.06649755, 0.050382614, 0.0018187328), (12.640378, -0.06817215, 0.050382614, -0.010855706), (12.32519, -0.10979401, 0.050382614, 0.027480321), (12.147376, -0.12937696, 0.050382614, -0.002943263), (12.473972, -0.06525443, 0.050382614, 0.10838828), (12.842293, -0.0059945774, 0.050382614, -0.12026282), (13.046537, -0.00016178907, 0.050382614, 0.005813663), (13.119049, -0.031355176, 0.050382614, -0.003655553), (13.088891, -0.072564535, 0.050382614, 0.04490736), (13.473374, -0.05889284, 0.050382614, 0.0028902919), (13.388023, -0.056840084, 0.05099392, 0.072038986), (13.435969, 0.01122827, 0.05171585, 0.05039514), (13.52553, -0.05633837, 0.052149773, 0.032418396), (13.607526, -0.039128203, 0.052236557, 0.026363797), (13.647381, -0.0806065, 0.051540375, 0.0018490043), (13.4015045, -0.026215484, 0.04996395, 0.06656916)]
Thoon	[(13.052582, -0.016552916, 0.15299988, 5.0183025e-05), (12.87335, -0.05995035, 0.15299797, 0.017021254), (17.51426, -0.0053342534, 0.15299511, 0.023078674), (17.817123, 0.026959611, 0.15296459, -0.03619433), (19.145685, -0.12367145, 0.17284107, 0.001951037), (20.257132, -0.322708, 0.08305073, -0.162915), (20.682756, -0.40647337, 0.043136597, -0.25854474), (20.626396, -0.6002241, 0.033154488, -0.07574468), (19.652964, -0.5768113, 0.013194084, -0.11757884), (18.185102, -0.49739757, 0.013160706, -0.09482015), (16.530308, -0.43687782, 0.003170967, 0.005156549), (15.333817, -0.17213666, -0.0068502426, -0.02235994), (14.819527, 0.017317466, -0.006896019, 0.067061596), (14.810884, -0.07232127, -0.006937027, 0.03768428), (13.899799, -0.18174674, -0.0069799423, -0.026283167), (13.489043, -0.19271147, -0.0070381165, -0.0017834546), (13.657136, -0.20365411, -0.0071020126, 0.026943374), (14.579531, -0.19302107, -0.00712204, 0.0027134933), (15.99609, -0.45449162, -0.007123947, -0.025333064), (16.805223, -0.6427214, -0.017127037, -0.017477714), (17.581556, -0.82233113, -0.027130127, -0.10485098), (18.513906, -0.94242543, -0.03712368, -0.019025445), (18.989622, -0.81358474, -0.057073593, -0.033386443), (19.155401, -0.80816454, -0.06704903, -0.004416495), (19.665174, -0.5841734, -0.06704903, 0.031224953), (20.852879, -0.62041396, -0.03712368, 0.012720822), (21.432642, -0.6965947, -0.047099113, 0.033619687), (21.714462, -0.9370835, -0.047099113, -0.04154161), (21.758476, -0.922411, -0.03712368, 0.029436639), (21.61021, -0.954475, -0.0071983337, 0.1617743), (21.16418, -0.88080126, 0.012751579, 0.013324372), (20.440697, -0.5934544, 0.032701492, 0.11053622), (19.066507, -0.40781632, 0.032701492, 0.023576055), (17.656797, -0.38405257, 0.06262684, 0.05370077), (17.438026, -0.90557534, 0.07260227, 0.12231309), (17.08166, -0.7280432, 0.082577705, 0.11940709), (16.32169, -0.4516614, 0.10252762, -0.039474994), (15.500392, -0.2931819, 0.10252762, -0.026874155), (14.992414, -0.08317494, 0.082577705, -0.11386269), (15.245939, -0.0533315, 0.06262684, -0.08528626), (15.250341, -0.06749113, 0.05265236, -0.027945366), (13.365409, -0.18087912, 0.05265236, 0.012227339), (13.345732, -0.29142034, 0.042676926, -0.052033618), (13.289321, -0.33920008, 0.032701492, -0.053757012), (12.853137, -0.2861078, 0.032701492, 0.019069668), (14.110086, -0.083275296, 0.032701492, -0.03472468), (14.132427, -0.022124717, 0.032701492, -0.018724414), (13.345044, 0.01760537, 0.032701492, 0.011464704), (13.574488, 0.015317419, 0.032701492, -0.008089134), (13.311653, -0.013941988, 0.032701492, -0.0021060638), (12.9698925, 0.013090079, 0.032701492, 0.047838576), (12.696569, 0.02753881, 0.032701492, 0.058852695), (12.763282, 0.050064337, 0.032701492, 0.036086474), (12.738993, -0.072523095, 0.032701492, -0.067597605), (12.634871, -0.073878184, 0.032701492, -0.043718822), (12.317502, -0.11122741, 0.032701492, -0.0108644385), (12.13806, -0.1228399, 0.032701492, -0.008509018), (12.469163, -0.06292506, 0.032701492, 0.027529875), (12.844218, 0.0040623127, 0.032701492, 0.00887479), (13.047159, 0.008925121, 0.032701492, -0.015078239), (13.123874, -0.024891054, 0.032701492, -0.084206685), (13.087843, -0.07089978, 0.032701492, 0.01268821), (13.477457, -0.06334859, 0.032701492, -0.01151496), (13.386584, -0.058545046, 0.032701492, -0.04033391), (13.440421, 0.009564486, 0.032701492, 0.010512191), (13.525791, -0.054326016, 0.032701492, 0.01480712), (13.607677, -0.03455918, 0.032701492, 0.007843093), (13.646506, -0.08206198, 0.032701492, -0.032455992), (13.533966, -0.059400104, 0.032701492, 0.064394295), (13.805611, -0.013277929, 0.032701492, 0.015287907), (13.93467, -0.04560731, 0.032701492, -0.05239106), (13.95785, -0.03294837, 0.032701492, -0.0142603), (13.807475, 0.027629618, 0.032701492, -0.02694262), (13.830982, -0.0008847955, 0.032701492, 0.036103792), (14.023318, -0.0022504998, 0.032701492, -0.015104794), (14.094105, -0.029561898, 0.032701492, -0.037187085), (14.084328, 0.0052659404, 0.03271675, 0.025601422), (14.069349, -0.014945866, 0.032784462, -0.05022509), (14.235164, -0.099588454, 0.03279209, -0.0047860825), (14.145914, -0.16920951, 0.032819748, 0.016273431), (14.116648, -0.06311169, 0.033037186, 0.042685322), (14.046047, -0.05408288, 0.03382492, -0.06361615), (13.740055, -0.030765515, 0.03466606, 0.06822305), (13.384111, -0.048538722, 0.036237717, -0.015770197), (13.147175, -0.10433057, 0.03698349, 0.012388548), (13.0531, -0.06334399, 0.037623405, -0.030128362), (12.7310295, -0.12906209, 0.03783703, -0.03697177), (12.088018, -0.1316869, 0.037831306, -0.0027856345), (11.813123, -0.121852145, 0.037830353, 0.08726198), (11.306224, -0.12543975, 0.0378294, -0.0635133), (10.65692, -0.15077938, 0.037822723, -0.016937599), (11.420001, -0.15951407, 0.037816048, 0.062455185), (11.43001, -0.07674988, 0.03780842, 0.059754938), (11.19009, -0.0015034198, 0.037801743, -0.0050333515), (11.063549, -0.09569184, 0.037733078, 0.0033776786), (10.813354, -0.09817932, 0.037023544, 0.03298137), (10.550017, -0.0697405, 0.035550117, -0.017560514)]
Lip,	[]
Chandran	[(16.1676, -0.30494654, 0.07488537, -0.08885556), (16.208645, -0.51271427, 0.0748682, -0.0063421275), (17.069355, -0.49684685, 0.07482433, -0.04595509), (17.720562, -0.5627322, 0.06484127, -0.013942751), (18.616346, -0.66842246, 0.03488922, -0.10062922), (19.82172, -0.748662, 0.044825554, -0.0755997), (20.37311, -0.8121152, 0.04480934, -0.017273422), (20.593653, -0.90837806, 0.034805298, -0.1185579), (20.53187, -0.86564445, 0.0048675537, -0.08479513), (20.155828, -0.7053512, -0.015124321, -0.24874943), (19.053654, -0.52797365, -0.055054665, -0.108939275), (17.629307, -0.33966178, -0.114910126, 0.012125154), (17.056864, -0.46944267, -0.07501602, 0.120602116), (16.78664, -0.40128615, -0.015181541, 0.25791746), (16.93994, -0.20290345, 0.05463314, 0.19383012), (16.966269, -0.3088182, 0.114468575, 0.14711897), (19.17623, -0.00462926, 0.16433716, -0.108247146), (20.479082, -0.32045424, 0.07454586, 0.0063718017), (21.124975, -0.49078324, 0.0446043, -0.13810353), (21.411379, -1.1107193, 0.04455185, -0.032519974), (21.543522, -1.1874098, 0.034570694, -0.118618615), (21.540672, -1.2280384, 0.024562836, 0.0018373795), (21.418375, -1.2608057, 0.024552345, 0.071162745), (21.256073, -1.1212023, 0.03452778, 0.03915046), (21.105791, -1.1172211, 0.05447769, 0.053151786), (21.03601, -1.1724602, 0.07442856, 0.03955946), (20.914377, -1.2442309, 0.07442856, -0.0037840707), (20.815422, -1.1859684, 0.064453125, -0.013035579), (20.772789, -1.1779884, 0.064453125, -0.054117758), (20.861805, -1.1465217, 0.05447769, -0.0137176225), (20.934221, -1.0292187, 0.044503212, -0.103320345), (20.983822, -0.97758675, 0.024552345, -0.07720092), (20.939568, -0.9976044, -0.0053720474, -0.093082994), (20.805466, -1.0602604, -0.025322914, -0.07548679), (20.497023, -0.9623829, -0.045272827, -0.043401055), (20.18275, -0.8586988, -0.045272827, 0.06469728), (19.55537, -0.7070937, -0.05524826, 0.012887735), (19.474478, -0.6466245, -0.025322914, 0.051874053), (19.360796, -0.814683, -0.0053720474, 0.02963148), (19.181408, -0.80872333, -0.035297394, -0.16799958), (18.889412, -0.7735913, -0.06522274, -0.14692801), (18.629969, -0.88497114, -0.09514809, -0.008231606), (18.25822, -0.6279738, -0.10512352, -0.00053844065), (17.695868, -0.492849, -0.09514809, -0.08799361), (17.044226, -0.5229726, -0.08517265, 0.050558493), (16.909498, -0.68506604, -0.07519817, 0.12169395), (16.885616, -0.7209227, -0.06522274, -0.077818185), (16.67981, -0.73287743, -0.05524826, 0.0027328078), (16.217596, -0.69849133, -0.045272827, 0.030079033), (15.792762, -0.6273547, -0.035297394, 0.035241768), (15.2737, -0.4990628, -0.025322914, 0.11956122), (14.352883, -0.2636687, -0.015347481, 0.061860487), (14.0558, -0.103750296, -0.0053720474, 0.022336813), (13.718364, -0.010565743, 0.0046024323, 0.016291782), (13.664774, -0.040033434, 0.0046024323, 0.0087632695), (13.624681, -0.033970576, 0.0046024323, 0.037085555), (13.542767, -0.05518584, 0.014577866, 0.08830824), (13.604878, -0.107964694, 0.024552345, 0.10872589), (13.25093, -0.002789188, 0.03452778, 0.10493741), (13.182496, 0.003151758, 0.044503212, 0.09792848), (13.017701, -0.059746463, 0.05447769, 0.07266265), (12.900741, -0.069808856, 0.064453125, 0.15690851), (12.7475605, -0.009949762, 0.07442856, 0.037206195), (12.958311, -0.064830154, 0.08440304, 0.060104545), (13.043781, -0.04141038, 0.08440304, -0.02630176), (12.846254, 0.013866252, 0.09437847, 0.04350879), (12.601937, 0.047000267, 0.09437847, -0.039261837), (12.41778, -0.0037465096, 0.09437847, 0.0061555095), (12.532848, -0.10005829, 0.09437847, -0.054493766), (12.852498, -0.029962415, 0.09437847, 0.055354066), (13.088573, 0.016835231, 0.09437847, -0.010833774), (13.196776, 0.055570886, 0.09437847, -0.088020355), (12.994847, 0.049139187, 0.09437847, -0.023761483), (12.814565, 0.09447827, 0.09437847, -0.026890028), (12.615955, 0.07384569, 0.09437847, -0.0076041836), (12.61776, 0.086239405, 0.09437847, -0.02087932), (12.4684925, 0.04451934, 0.09468365, 0.0050731306), (12.578171, -0.099545695, 0.096012115, -0.03335707), (12.8938265, -0.024312995, 0.09730148, 0.080806315), (13.33535, 0.05970644, 0.09874153, -0.02278016), (13.251402, 0.07276821, 0.09969711, -0.037132014), (12.828206, -0.04785356, 0.10097599, 0.032694854), (12.715263, -0.074330136, 0.1023283, -0.0032560476), (12.684496, -0.040974285, 0.10348511, -0.113859214), (13.36409, 0.07558805, 0.103868484, -0.018478597), (13.368693, 0.06249792, 0.10370159, 0.024377108), (13.37994, 0.019614711, 0.10262966, -0.0012040201), (12.549423, 0.018624082, 0.10187149, -0.046542764), (12.498876, 0.04316872, 0.10061073, 0.1236073), (12.497842, -0.034032505, 0.10050011, -0.16200894), (12.67459, -0.045935426, 0.10062599, -0.020314064), (12.874343, 0.022633577, 0.101304054, -0.031451806), (12.720336, 0.042769965, 0.10130978, 0.05435595), (12.729981, -0.049468946, 0.101820946, -0.090502866), (12.557679, -0.11201747, 0.10294914, 0.01922667), (12.838588, 0.019661395, 0.10468769, 0.0035910709), (12.855079, 0.0654944, 0.10620499, -0.031590242), (12.761, 0.0327119, 0.10748005, 0.10584772)]
Nair,	[]
and	[(15.52244, -0.16407733, 0.6468954, 0.03542218), (15.272516, -0.2149033, 0.6468954, -0.45155957), (14.351023, -0.2636687, 0.6668453, -1.0335109), (14.054499, -0.08725518, 0.18804169, -1.2566633), (13.7204275, -0.1285112, -0.11121082, -1.192498), (13.661854, -0.18803084, -0.28078747, -0.6361457), (13.624043, -0.017852558, -0.31071186, -0.2604809), (13.54442, 0.0032828667, -0.3406372, 0.028298978), (13.599425, -0.15292238, -0.3206873, -0.001890827), (13.253107, -0.14351416, -0.29076195, 0.16725665), (13.187199, -0.2119306, -0.25086212, 0.11731963), (13.01783, -0.12750234, -0.24088669, 0.11156191), (12.897625, -0.00357085, -0.20098686, 0.08758627), (12.74863, -0.076654784, -0.17106056, 0.009365985), (12.965458, -0.08255036, -0.20098686, 0.026633693), (13.041413, -0.13576223, -0.20098686, 0.060218357), (12.845806, -0.1766727, -0.17106056, 0.021903196), (12.59616, -0.106026866, -0.16108608, 0.030550469), (12.410172, -0.06377073, -0.16108608, 0.05030746), (12.53044, -0.029574048, -0.181036, 0.0018235948), (12.855787, -0.070979565, -0.181036, -0.09892364), (13.094494, -0.04147445, -0.16108608, -0.22071756), (13.195877, 0.016914696, -0.21096134, -0.20180768), (13.000964, 0.025926389, -0.3406372, -0.1384525), (12.817182, -0.026129533, -0.33066273, 0.124385074), (12.61816, 0.049546592, -0.29076195, 0.2692691), (12.602317, -0.0025645043, -0.15111065, 0.109206036), (12.470045, 0.012807017, -0.16108608, -0.06434412), (12.587064, 0.062958576, -0.24088669, -0.21336132), (12.893956, -0.061193466, -0.30073738, -0.24018076), (13.338223, -0.022262637, -0.3406372, -0.10619833), (13.249475, -0.021179847, -0.33066273, -0.091193326), (12.82547, 0.03244602, -0.3206873, 0.0075627295), (12.710482, -0.0350101, -0.3406372, -0.07418835), (12.683651, -0.116802044, -0.3406372, 0.10427603), (13.35997, -0.10938411, -0.3206873, 0.052095428), (13.370098, -0.112874575, -0.28078747, 0.101040825), (13.378653, -0.16064648, -0.28078747, 0.13814868), (12.56112, -0.10525232, -0.28078747, 0.14102401), (12.490972, -0.029073302, -0.20098686, 0.25377947), (12.495486, -0.031730596, -0.21096134, 0.21789986), (12.676653, -0.023609005, -0.20098686, 0.19173937), (12.873723, -0.08159716, -0.09126091, 0.34399468), (12.7164755, -0.060249962, -0.05136013, 0.21172507), (12.733309, -0.012720859, -0.031410217, 0.122060515), (12.554736, -0.035040498, -0.021434784, 0.10859859), (12.846534, -0.025382996, -0.05136013, 0.012363982), (12.857241, 0.021074902, -0.021434784, 0.08912997), (12.757785, 0.019144276, 0.008490562, 0.06915576)]
Toh	[]
Liying.	[]
Do	[(13.008427, 0.07145472, -0.13692951, 0.023361498), (12.816412, 0.0044418527, -0.13692951, 0.016754463), (12.528033, -0.033787645, -0.13692951, -0.02986498), (16.834623, -0.11032481, -0.13692951, -0.106127575), (18.50734, -0.19372995, -0.14690399, -0.09462308), (18.741207, -0.32573444, -0.16685486, -0.09436205), (18.366169, -0.47486556, -0.17682934, 0.020460337), (17.949333, -0.62206084, -0.17682934, 0.029067406), (17.92557, -0.8183563, -0.17682934, -0.0052636955), (18.176908, -0.59211063, -0.16685486, 0.00628809), (19.019884, -0.3648321, -0.14690399, -0.006019757), (19.506477, -0.46201065, -0.13692951, -0.03165193), (19.604053, -0.6679051, -0.14690399, 0.07443598), (19.71369, -0.9651057, -0.14690399, 0.044575423), (19.76344, -1.089174, -0.13692951, 0.05023936), (19.806244, -1.0152647, -0.13692951, 0.03268932), (19.723934, -0.9390589, -0.12695408, -0.0038072048), (19.691309, -0.9981249, -0.107004166, 0.09379953), (19.620747, -0.9956413, -0.09702873, 0.04475341), (19.624413, -0.9713794, -0.09702873, 0.05382096), (19.676859, -0.95839256, -0.09702873, 0.041999966), (19.880245, -0.834099, -0.09702873, 0.014555226), (20.336494, -0.8638976, -0.107004166, 0.046650454), (20.788141, -0.8351625, -0.12695408, 0.04107605), (21.25729, -0.91385585, -0.107004166, -0.010527181), (21.502224, -0.8750298, -0.08705425, 0.013415255), (21.60042, -1.0245966, -0.07707882, 0.097536035), (21.523846, -1.0596454, -0.067103386, 0.062199887), (21.39564, -0.9747926, -0.057128906, 0.16165294), (21.006645, -0.7387366, -0.047153473, 0.038684193), (20.275732, -0.50977576, -0.057128906, -0.021186136), (19.072226, -0.32402706, -0.047153473, 0.21184357), (18.666147, -0.4502121, 0.032647133, 0.31877112), (19.213413, -0.46389917, 0.10247326, 0.26817465), (20.694208, -0.372947, 0.21219921, 0.21454766), (21.11547, -0.49495053, 0.2421236, 0.20035797), (21.254442, -0.8905994, 0.2421236, 0.0756879), (21.074463, -0.99449205, 0.26207447, 0.024422657), (21.283106, -1.0495836, 0.26207447, 0.14664868), (21.189524, -1.0943501, 0.27204895, -0.040642373), (21.443007, -1.1346295, 0.27204895, 0.02010033), (21.329826, -1.02196, 0.26207447, -0.08813594), (21.640522, -0.72012454, 0.22217369, -0.14837469), (21.515814, -0.5690883, 0.19224834, -0.119489394), (21.33913, -0.47361043, 0.14237309, -0.18822607), (21.175692, -0.37485182, 0.10247326, -0.16870782), (20.572365, -0.27436233, 0.06257248, -0.08653908), (19.741728, -0.28965914, 0.032647133, -0.115922034), (19.153372, -0.21320601, 0.032647133, -0.08838907), (19.50418, -0.07266298, 0.0226717, -0.057716403), (19.772306, -0.058617912, -0.017228127, -0.1335591), (19.87825, -0.07522993, -0.03717804, -0.14039488), (20.041853, -0.07282818, -0.047153473, -0.124391496), (20.020605, -0.09493163, -0.09702873, 0.05937021), (19.372377, -0.07398545, -0.08705425, 0.19115046), (20.72158, -0.0651632, 0.052597046, 0.44349593), (21.52816, -0.22298291, 0.11244774, 0.24299754), (22.051964, -0.4091702, 0.092497826, -0.029810745), (22.033142, -0.6653411, 0.07254791, -0.08829873), (21.895817, -0.7283863, 0.052597046, -0.071514696), (21.678133, -0.74020123, 0.052597046, 0.024533859), (20.946667, -0.6761225, 0.042622566, -0.027270641), (20.604586, -0.63405704, 0.032647133, -0.0069843233), (20.142244, -0.415489, 0.0027217865, -0.2193024), (19.136599, -0.2514533, -0.047153473, -0.06247229), (17.644913, 0.007914408, -0.07707882, -0.064446196), (15.175841, 0.100770846, -0.07707882, -0.10658792), (14.625434, 0.11107096, -0.07707882, 0.045761593)]
